sku,slug,name,group_name,size,size_label,pack_qty,unit,price,currency,manba_narx,manba_valyuta,brand,category_uz,subcategory_ru,supplier,price_date,in_stock,featured
NG-0024,vtulka-pod-flanets-adapter-63-absan-sanat,Втулка под фланец (Адаптер) 63 Absan Sanat,Втулка под фланец (Адаптер),63,Размер,30,dona,20570,UZS,20570,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0025,vtulka-pod-flanets-adapter-75-absan-sanat,Втулка под фланец (Адаптер) 75 Absan Sanat,Втулка под фланец (Адаптер),75,Размер,25,dona,26620,UZS,26620,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0026,vtulka-pod-flanets-adapter-90-absan-sanat,Втулка под фланец (Адаптер) 90 Absan Sanat,Втулка под фланец (Адаптер),90,Размер,16,dona,30250,UZS,30250,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0027,vtulka-pod-flanets-adapter-110-absan-sanat,Втулка под фланец (Адаптер) 110 Absan Sanat,Втулка под фланец (Адаптер),110,Размер,12,dona,32670,UZS,32670,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0028,vtulka-pod-flanets-adapter-160-absan-sanat,Втулка под фланец (Адаптер) 160 Absan Sanat,Втулка под фланец (Адаптер),160,Размер,9,dona,50820,UZS,50820,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0029,vtulka-pod-flanets-adapter-200-absan-sanat,Втулка под фланец (Адаптер) 200 Absan Sanat,Втулка под фланец (Адаптер),200,Размер,6,dona,133100,UZS,133100,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0030,vtulka-pod-flanets-adapter-250-absan-sanat,Втулка под фланец (Адаптер) 250 Absan Sanat,Втулка под фланец (Адаптер),250,Размер,4,dona,232320,UZS,232320,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0031,vtulka-pod-flanets-adapter-315-absan-sanat,Втулка под фланец (Адаптер) 315 Absan Sanat,Втулка под фланец (Адаптер),315,Размер,2,dona,302500,UZS,302500,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0032,vtulka-pod-flanets-adapter-400-absan-sanat,Втулка под фланец (Адаптер) 400 Absan Sanat,Втулка под фланец (Адаптер),400,Размер,2,dona,847000,UZS,847000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0033,vtulka-pod-flanets-adapter-500-absan-sanat,Втулка под фланец (Адаптер) 500 Absan Sanat,Втулка под фланец (Адаптер),500,Размер,1,dona,1815000,UZS,1815000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0034,otvod-polietilenovyy-50-absan-sanat,Отвод полиэтиленовый 50 Absan Sanat,Отвод полиэтиленовый,50,Размер,66,dona,16335,UZS,16335,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0035,otvod-polietilenovyy-63-absan-sanat,Отвод полиэтиленовый 63 Absan Sanat,Отвод полиэтиленовый,63,Размер,30,dona,21417,UZS,21417,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0036,otvod-polietilenovyy-75-absan-sanat,Отвод полиэтиленовый 75 Absan Sanat,Отвод полиэтиленовый,75,Размер,25,dona,27830,UZS,27830,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0037,otvod-polietilenovyy-90-absan-sanat,Отвод полиэтиленовый 90 Absan Sanat,Отвод полиэтиленовый,90,Размер,15,dona,32670,UZS,32670,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0038,otvod-polietilenovyy-110-absan-sanat,Отвод полиэтиленовый 110 Absan Sanat,Отвод полиэтиленовый,110,Размер,12,dona,47795,UZS,47795,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0039,otvod-polietilenovyy-160-absan-sanat,Отвод полиэтиленовый 160 Absan Sanat,Отвод полиэтиленовый,160,Размер,10,dona,133100,UZS,133100,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0040,otvod-polietilenovyy-200-absan-sanat,Отвод полиэтиленовый 200 Absan Sanat,Отвод полиэтиленовый,200,Размер,3,dona,242000,UZS,242000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0041,otvod-polietilenovyy-250-absan-sanat,Отвод полиэтиленовый 250 Absan Sanat,Отвод полиэтиленовый,250,Размер,2,dona,363000,UZS,363000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0042,otvod-polietilenovyy-300-absan-sanat,Отвод полиэтиленовый 300 Absan Sanat,Отвод полиэтиленовый,300,Размер,1,dona,726000,UZS,726000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0043,otvod-polietilenovyy-400-absan-sanat,Отвод полиэтиленовый 400 Absan Sanat,Отвод полиэтиленовый,400,Размер,1,dona,1379400,UZS,1379400,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0044,otvod-polietilenovyy-500-absan-sanat,Отвод полиэтиленовый 500 Absan Sanat,Отвод полиэтиленовый,500,Размер,1,dona,3388000,UZS,3388000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0045,krestovina-90x90-absan-sanat,Крестовина 90x90 Absan Sanat,Крестовина,90x90,Размер,100,dona,121000,UZS,121000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0046,krestovina-110x110-absan-sanat,Крестовина 110x110 Absan Sanat,Крестовина,110x110,Размер,70,dona,157300,UZS,157300,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0047,krestovina-160x160-absan-sanat,Крестовина 160x160 Absan Sanat,Крестовина,160x160,Размер,40,dona,387200,UZS,387200,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0048,krestovina-200x200-absan-sanat,Крестовина 200x200 Absan Sanat,Крестовина,200x200,Размер,36,dona,726000,UZS,726000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0049,troynik-63-pn16-absan-sanat,Тройник 63 PN16 Absan Sanat,Тройник,63 PN16,Размер,30/10,dona,25410,UZS,25410,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
